является, є
соединение, з'єднання
капитана, капітана
приказал, наказав
жителями, жителями
землетрясения, землетрусу
конгресса, конгресу
готовятся, готуються
химических, хімічних
прошлым, минулим
искусстве, мистецтві
влияют, впливають
подавать, подавати
изменилась, змінилася
нормальной, нормальної
трети, третини
последовательно, послідовно
российскими, російськими
проводил, проводив
ограничение, обмеження
чужой, чужий
леди, леді
диаметром, діаметром
Вильнюсе, Вільнюсі
комнат, кімнат
удобное, зручне
патриарха, патріарха
лекарств, ліків
формировании, формуванні
сигнала, сигналу
ранних, ранніх
ширина, ширина
освобождение, звільнення
диплом, диплом
электронного, електронного
хозяйств, господарств
упала, впала
профессионально, професійно
небе, небі
контролю, контролю
блоков, блоків
парня, хлопця
частный, приватний
установку, установку
усиление, посилення
космос, космос
добровольно, добровільно
свидетельства, свідоцтва
повышении, підвищенні
нарушением, порушенням
губы, губи
епархии, єпархії
проживают, проживають
тренером, тренером
сохраняет, зберігає
рыночной, ринкової
указаны, вказані
публично, публічно
зимний, зимовий
вступить, вступити
победой, перемогою
меняет, змінює
стратегических, стратегічних
представьте, уявіть
единая, єдина
любимого, улюбленого
бои, бої
сравнение, порівняння
распределения, розподілу
северный, північний
уверена, впевнена
интересная, цікава
схеме, схемою
футболисты, футболісти
радиостанции, радіостанції
прогнозам, прогнозами
включать, включати
переданы, передані
урегулирования, врегулювання
собраны, зібрані
палата, палата
денис, денис
британского, британського
муниципального, муніципального
весна, весна
уши, вуха
значительную, значну
западном, західному
железы, залози
добрые, добрі
чести, честі
центрах, центрах
попросили, попросили
динамика, динаміка
умеют, вміють
технологию, технологію
погоду, погоду
утверждать, стверджувати
совещание, нараду
кузова, кузова
испытывает, відчуває
пригласил, запросив
обойдется, обійдеться
положением, становищем
боях, боях
типы, типи
развитых, розвинених
экологии, екології
кандидатуру, кандидатуру
ударов, ударів
традиция, традиція
узнает, дізнається
сити, сіті
голосовать, голосувати
условием, умовою
текущий, поточний
ракет, ракет
назначил, призначив
обществу, суспільству
Москвой, Москвою
видны, видно
заслуги, заслуги
выставку, виставку
прошёл, пройшов
мировым, світовим
государствами, державами
человечество, людство
смартфонов, смартфонів
подписи, підписи
стену, стіну
месторождения, місце народження
свежие, свіжі
проектах, проектах
слышать, чути
делая, роблячи
совершения, здійснення
планирования, планування
международными, міжнародними
художественного, художнього
покажет, покаже
солнечных, сонячних
перевозок, перевезень
отдыхать, відпочивати
орден, орден
скажет, скаже
пищевой, харчової
местному, місцевим
созданный, створений
маленького, маленького
пальцев, пальців
откровенно, відверто
вооружение, озброєння
урожай, урожай
выходных, вихідних
сидят, сидять
супруги, подружжя
коллегии, колегії
выпустила, випустила
глобальной, глобальної
свердловской, свердловської
длительного, тривалого
встретил, зустрів
ночной, нічний
закрыт, закритий
стандарта, стандарту
объявлено, оголошено
необходимый, необхідний
берлине, берлині
белья, білизни
финансовую, фінансову
сельской, сільській
документах, документах
длину, довжину
встретились, зустрілися
посты, пости
военное, військове
ярким, яскравим
собаку, собаку
земельный, земельну
целых, цілих
экологической, екологічної
черной, чорної
позади, позаду
определяют, визначають
сроков, термінів
майор, майор
зарубежные, зарубіжні
фильтр, фільтр
превышать, перевищувати
народная, народна
творчестве, творчості
проявления, прояви
живу, живу
среднее, середнє
пункте, пункті
отдельной, окремої
независимой, незалежної
прекрасные, прекрасні
знакомые, знайомі
прокат, прокат
референдума, референдуму
боюсь, боюся
насладиться, насолодитися
очередное, чергове
физически, фізично
похожи, схожі
кровать, ліжко
доказательств, доказів
разрешением, дозволом
небольшую, невелику
предотвращения, запобігання
техническим, технічним
сортов, сортів
подтверждения, підтвердження
император, імператор
битвы, битви
пик, пік
Норвегии, Норвегії
комфортно, комфортно
выбирают, вибирають
ведомство, відомство
основатель, засновник
импорта, імпорту
Бельгии, Бельгії
автобусы, автобуси
оккупации, окупації
социальный, соціальний
южный, південний
соглашений, угод
отвечая, відповідаючи
заказу, замовленням
увеличилась, збільшилася
сделают, зроблять
дано, дано
усиления, посилення
грузинские, грузинські
зависят, залежать
процессом, процесом
возникло, виникло
оперативной, оперативної
обращайтесь, звертайтеся
семинары, семінари
домашние, домашні
бояться, боятися
переработки, переробки
масс, мас
внесении, внесення
призы, призи
европейском, європейському
громко, голосно
торги, торги
решают, вирішують
превратить, перетворити
энергетической, енергетичної
закончился, закінчився
приборы, прилади
скота, худоби
кода, коду
вступает, вступає
удалять, видаляти
материалам, матеріалами
звонки, дзвінки
юридической, юридичної
нуля, нуля
займет, займе
условие, умова
сонник, сонник
посещать, відвідувати
домашней, домашньої
кожей, шкірою
инфраструктура, інфраструктура
добавляет, додає
сделайте, зробіть
руководил, керував
норма, норма
налогообложения, оподаткування
убытки, збитки
проголосовали, проголосували
привет, вітання
дайте, дайте
летие, річчя
какому, якого
бизнесом, бізнесом
отправили, відправили
массовые, масові
китайские, китайські
выпустил, випустив
враг, ворог
частиц, частинок
нужд, потреб
камер, камер
больной, хворий
своевременно, своєчасно
пророка, пророка
кгб, КДБ
диагностики, діагностики
функционирования, функціонування
выходом, виходом
существующие, існуючі
важны, важливі
предоставлять, надавати
годовой, річний
выиграла, виграла
текстом, текстом
городок, містечко
географии, географії
Америка, Америка
рассказывают, розповідають
пешком, пішки
культурные, культурні
состоял, складався
рабочее, робоче
изменится, зміниться
чувствую, відчуваю
коммуны, комуни
интересным, цікавим
смогу, зможу
наблюдателей, спостерігачів
пригласить, запросити
последующих, подальших
пассажиры, пасажири
книгах, книгах
экскурсия, екскурсія
командование, командування
богатых, багатих
постоянным, постійним
созданием, створенням
рта, рота
грузоперевозки, вантажоперевезення
ресурса, ресурсу
давал, давав
рубеж, рубіж
жене, дружині
вспоминает, згадує
закончилась, закінчилася
сущность, сутність
московских, московських
авиалиний, авіаліній
работаю, працюю
похожие, схожі
скидка, знижка
предварительного, попереднього
отсутствием, відсутністю
активисты, активісти
формируется, формується
охрана, охорона
кошки, кішки
конвенции, конвенції
ленты, стрічки
белорусского, білоруського
охоты, полювання
купе, купе
требованием, вимогою
склад, склад
объём, обсяг
лагере, таборі
завершении, завершенні
представленных, представлених
побед, перемог
членам, членам
футболистов, футболістів
считаться, вважатися
продолжения, продовження
прекращения, припинення
указания, вказівки
истины, істини
исключает, виключає
опасно, небезпечно
стоило, коштувало
отцу, батькові
формально, формально
простое, просте
ответили, відповіли
учить, вчити
оборота, обороту
лук, цибуля
лауреат, лауреат
татар, татар
живёт, живе
транспортной, транспортної
оригинальные, оригінальні
требуются, потрібні
любимым, улюбленим
улучшает, покращує
ведение, ведення
способами, способами
снаружи, зовні
реальная, реальна
просьба, прохання
белье, білизна
поручил, доручив
страдают, страждають
политикой, політикою
нижнем, нижньому
противостоять, протистояти
происходить, відбуватися
победе, перемоги
официальная, офіційна
индивидуальные, індивідуальні
кусок, шматок
банку, банку
операторы, оператори
длительное, тривалий
отличная, відмінна
дешевый, дешевий
крон, крон
эксперимент, експеримент
поступают, надходять
страдает, страждає
смотрю, дивлюся
содержанию, змісту
показалось, здалося
актуальные, актуальні
симптомы, симптоми
написала, написала
специалистам, фахівцям
нижнего, нижнього
вмешательства, втручання
комплексов, комплексів
документами, документами
разведки, розвідки
принесет, принесе
платят, платять
любители, любителі
легкие, легкі
излучения, випромінювання
полицию, поліцію
пластиковые, пластикові
обратил, звернув
лежат, лежать
заводов, заводів
боевики, бойовики
максимальное, максимальне
величине, величиною
мороз, мороз
олимпиаде, олімпіаді
направленных, спрямованих
менеджеров, менеджерів
имеющий, має
безработных, безробітних
насчитывает, налічує
карточки, картки
доставить, доставити
флот, флот
создавая, створюючи
пожаров, пожеж
комфорта, комфорту
рассматриваются, розглядаються
настоящих, справжніх
насчитывается, налічується
иностранной, іноземній
отмены, скасування
аукцион, аукціон
конференцию, конференцію
частях, частинах
социальную, соціальну
родном, рідному
направленные, спрямовані
земельных, земельних
думали, думали
убили, убили
задней, задній
сложная, складна
религия, релігія
предыдущие, попередні
делаю, роблю
лента, стрічка
детском, дитячому
южная, південна
уходу, догляду
начинаются, починаються
всякие, всякі
соблюдения, дотримання
процессор, процесор
показ, показ
Африке, Африці
экспозиции, експозиції
танец, танець
претензий, претензій
железа, заліза
производством, виробництвом
разной, різної
темно, темно
пойдут, підуть
иностранным, іноземним
внесены, внесені
заключить, укласти
езды, їзди
дистанции, дистанції
рисков, ризиків
применить, застосувати
обычным, звичайним
женился, одружився
профиля, профілю
сельское, сільське
предупреждения, попередження
территориях, територіях
составляли, становили
Польша, Польща
певец, співак
отчета, звіту
остановиться, зупинитися
учебном, навчальному
прошлый, минулий
оплате, оплаті
спросом, попитом
сложившейся, сформованої
высказывания, висловлювання
указывается, вказується
Ирака, Іраку
грузинский, грузинський
атомной, атомної
усилить, посилити
референдум, референдум
прокомментировал, прокоментував
продолжали, продовжували
Кремль, Кремль
спор, суперечка
свободе, свободі
просить, просити
льда, льоду
конкретной, конкретної
проживающих, які проживають
Грузией, Грузією
урожая, врожаю
выбирает, вибирає
электроэнергию, електроенергію
привлечение, залучення
казахстанской, казахстанської
глубокой, глибокої
валюте, валюті
характеризуется, характеризується
открывать, відкривати
лекарственных, лікарських
запустить, запустити
государственными, державними
вирус, вірус
ящик, ящик
чей, чий
революция, революція
словарь, словник
предложила, запропонувала
землетрясение, землетрус
объединений, об'єднань
колледжа, коледжу
считалось, вважалося
демократических, демократичних
фабрики, фабрики
представлял, представляв
периоде, періоді
достигается, досягається
эстонской, естонської
называемых, званих
бесплатное, безкоштовне
поздравил, привітав
одежде, одязі
предполагалось, передбачалося
присоединиться, приєднатися
извините, вибачте
художники, художники
европейская, європейська
отпуска, відпустки
полчаса, півгодини
максимальный, максимальний
пакеты, пакети
показателя, показника
объединить, об'єднати
здоровый, здоровий
белорусской, білоруської
возвращаться, повертатися
присутствия, присутності
крупнейшим, найбільшим
запланировано, заплановано
делится, ділиться
верят, вірять
электронная, електронна
удары, удари
исключить, виключити
избегать, уникати
турецкой, турецької
предусмотрена, передбачена
хвост, хвіст
сведениям, відомостями
вуза, вузу
родного, рідного
практической, практичної
оказание, надання
температуру, температуру
получал, отримував
отечественного, вітчизняного
людмила, людмила
совершении, вчиненні
обращаются, звертаються
низкая, низька
клип, кліп
рекламные, рекламні
природой, природою
муки, борошна
инцидента, інциденту
уведомления, повідомлення
позволил, дозволив
азербайджанского, азербайджанського
сумели, зуміли
поддержал, підтримав
наладить, налагодити
западный, західний
прочность, міцність
правового, правового
полости, порожнини
установленных, встановлених
мера, міра
замену, заміну
войн, воєн
русское, російське
определенное, певне
головного, головного
будущий, майбутній
отделки, обробки
высшем, вищому
вызывать, викликати
авиакомпания, авіакомпанія
саммите, саміті
маркетинг, маркетинг
эффективным, ефективним
плотно, щільно
материалами, матеріалами
состоят, складаються
золотых, золотих
учащиеся, учні
уточнить, уточнити
сыновей, синів
обеспечении, забезпеченні
традиционный, традиційний
производят, виробляють
плей, плей
макс, макс
тюрьму, в'язницю
огнем, вогнем
поселок, селище
перерыва, перерви
жертвой, жертвою
мирных, мирних
атмосфере, атмосфері
Екатеринбург, Єкатеринбург
игроком, гравцем
сильная, сильна
религиозной, релігійної
потеряла, втратила
совещании, нараді
какова, яка
выпускает, випускає
выделяется, виділяється
противников, супротивників
придётся, доведеться
Минск, Минск
корпусе, корпусі
Египте, Єгипті
танков, танків
женская, жіноча
туристических, туристичних
менеджера, менеджера
сегменте, сегменті
рассмотрены, розглянуті
получился, вийшов
собственном, власному
продают, продають
неизбежно, неминуче
домашний, домашній
выступали, виступали
близости, близькості
совместное, спільне
обязательным, обов'язковим
корпоративных, корпоративних
изменении, зміні
берегов, берегів
простая, проста
нормам, нормам
привода, приводу
календарь, календар
танца, танцю
обратной, зворотного
женские, жіночі
вывода, виведення
слоев, шарів
расчеты, розрахунки
западу, захід
ареста, арешту
короткое, короткий
владельцам, власникам
ансамбль, ансамбль
рулем, кермом
определенную, певну
прогресса, прогресу
долгов, боргів
выплат, виплат
уровнях, рівнях
старую, стару
безработицы, безробіття
релиз, реліз
перемены, зміни
отдавать, віддавати
сельскохозяйственных, сільськогосподарських
употребление, вживання
творческие, творчі
стратегию, стратегію
фамилию, прізвище
допустим, допустимо
лучшими, кращими
возрастает, зростає
белом, білому
ученого, вченого
точность, точність
способа, способу
возвращении, повернення
главными, головними
образы, образи
подписано, підписано
снимки, знімки
достоинство, гідність
великая, велика
направил, направив
выступит, виступить
аппаратов, апаратів
состоятся, відбудуться
плохого, поганого
мальчиков, хлопчиків
контент, контент
чтение, читання
чувствуют, відчувають
тестирование, тестування
нож, ніж
любимые, улюблені
стадион, стадіон
банках, банках
академик, академік
четверть, чверть
республиканской, республіканської
почве, грунті
заполнить, заповнити
рецепт, рецепт
текстовом, текстовому
снят, знятий
конфликты, конфлікти
готовые, готові
включен, включений
понимаем, розуміємо
обработка, обробка
глубины, глибини
партией, партією
отставки, відставки
всерьез, всерйоз
охватывает, охоплює
уменьшение, зменшення
прогулки, прогулянки
опасения, побоювання
историко, історико
союзников, союзників
мужик, мужик
клинике, клініці
удержать, утримати
зимы, зими
добра, добра
надпись, напис
армией, армією
политолог, політолог
созданные, створені
смартфона, смартфона
постоянные, постійні
явлений, явищ
фирму, фірму
погибло, загинуло
намерении, намір
бизнесмен, бізнесмен
игровые, ігрові
зла, зла
крупными, великими
религиозные, релігійні
воле, волі
подразумевает, має на увазі
мастерство, майстерність
снимает, знімає
работающие, працюють
внутренняя, внутрішня
монеты, монети
отныне, відтепер
длинный, довгий
удовольствия, задоволення
иоанна, Іоанна
уникальных, унікальних
предварительной, попередньої
журналистами, журналістами
жалко, шкода
праве, право
покупатели, покупці
платформе, платформі
статьей, статтею
правление, правління
родина, Вітчизна
инструмента, інструменту
бытовых, побутових
выезд, виїзд
беспересадочных, безпересадочних
пользование, користування
двора, двору
жидкость, рідина
окрестностях, околицях
семейный, сімейний
прекрасная, прекрасна
метрах, метрах
Ирландии, Ірландії
участию, участі
мечеть, мечеть
строится, будується
представителям, представникам
методики, методики
иностранного, іноземного
действующим, чинним
эпизод, епізод
уничтожения, знищення
задуматься, задуматися
годовых, річних
велика, велика
поиске, пошуку
вызвала, викликала
бросить, кинути
улицам, вулицями
посвящен, присвячений
защищены, захищені
информационное, інформаційне
перенести, перенести
доставкой, доставкою
рядовой, рядовий
практические, практичні
плечи, плечі
развиваются, розвиваються
активную, активну
съезд, з'їзд
противостояние, протистояння
платежи, платежі
юных, юних
барак, барак
понимал, розумів
повреждений, пошкоджень
законопроекта, законопроекту
слабо, слабо
девушке, дівчині
характеристика, характеристика
такова, така
бросил, кинув
мирного, мирного
материально, матеріально
отрасль, галузь
заслуживает, заслуговує
проектирование, проектування
противоречит, суперечить
продолжаются, тривають
килограммов, кілограмів
потратить, витратити
врачом, лікарем
доски, дошки
соседние, сусідні
вредных, шкідливих
остановился, зупинився
набрал, набрав
железнодорожного, залізничного
Израиле, Ізраїлі
ресурсами, ресурсами
парламентской, парламентської
коллекцию, колекцію
индивидуально, індивідуально
положительный, позитивний
соединений, з'єднань
вступление, вступ
автобуса, автобуса
Япония, Японія
проявить, проявити
повседневной, повсякденному
листа, листа
желая, бажаючи
желаем, бажаємо
возможной, можливої
дорогих, дорогих
брендов, брендів
косметика, косметика
глобального, глобального
выявить, виявити
эволюции, еволюції
успешным, успішним
повторить, повторити
глубину, глибину
восприятия, сприйняття
десятка, десятка
трагедия, трагедія
подобным, подібним
автобусов, автобусів
характерно, характерно
переводы, переклади
образец, зразок
выпускать, випускати
попыток, спроб
устранить, усунути
заданий, завдань
результатами, результатами
авторитет, авторитет
решается, вирішується
привлекать, залучати
нервной, нервової
вин, вин
просмотреть, переглянути
министерств, міністерств
вкусу, смаку
беда, біда
нахождения, знаходження
заверил, запевнив
предприятиями, підприємствами
оставались, залишалися
ким, ким
зимних, зимових
помогите, допоможіть
материалом, матеріалом
целого, цілого
предмета, предмета
понравилась, сподобалася
ждал, чекав
стремиться, прагнути
нормальный, нормальний
дисплей, дисплей
американским, американським
полутора, півтора
целую, цілу
пыталась, намагалася
льготы, пільги
расположения, розташування
оси, осі
варианте, варіанті
предприятием, підприємством
вкусом, смаком
оригинальный, оригінальний
пригласили, запросили
природные, природні
молдавские, молдавські
Брюсселе, Брюсселі
присутствовать, бути присутнім
отдельным, окремим
соблюдение, дотримання
нужный, потрібний
эль, ель
работая, працюючи
заодно, заодно
активным, активним
учебы, навчання
сыграли, зіграли
рассказывал, розповідав
гибель, загибель
уменьшается, зменшується
отправлен, відправлений
платформа, платформа
чтении, читанні
организовал, організував
всячески, всіляко
продажам, продажу
принятии, прийнятті
география, географія
игровых, ігрових
экономическом, економічному
устанавливаются, встановлюються
стыдно, соромно
очка, очки
подарков, подарунків
словах, словах
признается, визнається
оснащены, оснащені
независимого, незалежного
лучшем, кращому
выдаче, видачу
положено, покладено
пластика, пластика
славу, славу
сообщило, повідомило
организациях, організаціях
киевской, київської
касающиеся, стосуються
добавила, додала
спине, спині
собственными, власними
думала, думала
таможенный, митний
введен, введений
мыслей, думок
выпускники, випускники
системами, системами
столичных, столичних
комментируя, коментуючи
закрыты, закриті
завершение, завершення
верх, верх
отправки, відправки
мотор, мотор
воздушного, повітряного
техническая, технічна
сделаем, зробимо
содержащие, містять
федеральный, федеральний
услышал, почув
дефицита, дефіциту
средствах, засобах
побольше, побільше
называемой, званої
заявлял, заявляв
республикой, республікою
существу, суті
современными, сучасними
появляться, з'являтися
здоровьем, здоров'ям
побывал, побував
черт, рис
свидетелей, свідків
предусмотренных, передбачених
определять, визначати
признают, визнають
плиты, плити
экономически, економічно
устойчивость, стійкість
луны, місяця
вещество, речовина
подлежит, підлягає
демонстрации, демонстрації
взаимоотношений, взаємовідносин
призыв, заклик
идее, ідеї
почту, пошту
ноутбук, ноутбук
выполняется, виконується
южно, південно
сущности, суті
свадьба, весілля
образуется, утворюється
изображением, зображенням
Египет, Єгипет
цепи, ланцюги
русскими, російськими
нету, немає
величины, величини
установленные, встановлені
набора, набору
перестали, перестали
упаковки, упаковки
отметив, відзначивши
критика, критика
целое, ціле
темам, темам
страсти, пристрасті
замечательный, чудовий
собирались, збиралися
ранен, поранений
продуктами, продуктами
пользователю, користувачу
поездок, поїздок
поднял, підняв
графика, графіка
определяются, визначаються
спину, спину
дружба, дружба
слышали, чули
семейных, сімейних
проведут, проведуть
характеристик, характеристик
обнаружен, виявлено
расположенные, розташовані
планировалось, планувалося
морские, морські
двусторонних, двосторонніх
встречает, зустрічає
никакие, ніякі
знакомый, знайомий
готово, готово
родные, рідні
алкоголь, алкоголь
разрешить, дозволити
цветом, кольором
ходил, ходив
знака, знака
фронте, фронті
сторонам, сторонам
расчетов, розрахунків
приобрела, придбала
энергией, енергією
Сербии, Сербії
призван, покликаний
мусульмане, мусульмани
сделка, Угода
необходимая, необхідна
народе, народі
оценили, оцінили
сложилась, склалася
пунктом, пунктом
отделом, відділом
чья, чия
передавать, передавати
компьютерные, комп'ютерні
церквей, церков
уезда, повіту
повести, повісті
восточный, східний
прочее, інше
восстановлению, відновленню
образцов, зразків
купили, купили
превратился, перетворився
клубом, клубом
долине, долині
выпустить, випустити
отличные, відмінні
каталога, каталогу
эксперта, експерта
идеальный, ідеальний
случается, трапляється
рекомендуют, рекомендують
проведенного, проведеного
приключения, пригоди
формула, формула
прекрасным, прекрасним
охлаждения, охолодження
малышей, малюків
инстанции, інстанції
челябинской, челябінської
функционирует, функціонує
совести, совісті
серьезным, серйозним
заводы, заводи
рядах, рядах
протокола, протоколу
открытые, відкриті
напомнить, нагадати
дало, дало
фильмах, фільмах
совершено, скоєно
нагрузку, навантаження
фитнес, фітнес
Таджикистаном, Таджикистаном
поступили, надійшли
переходе, переході
инфляция, інфляція
банковского, банківського
углом, кутом
передней, передній
изменениями, змінами
строки, рядки
изнутри, зсередини
скрыть, приховати
восточном, східному
устроили, влаштували
миф, міф
великим, великим
большинством, більшістю
силовых, силових
архитектура, архітектура
похоронен, похований
медицине, медицині
юбилей, ювілей
преступников, злочинців
паре, парі
опытные, досвідчені
оптимизации, оптимізації
конгресс, конгрес
отставке, відставку
земной, земної
вернее, вірніше
армянской, вірменської
обследование, обстеження
съезда, з'їзду
поступила, поступила
приезжает, приїжджає
преимуществ, переваг
клиентом, клієнтом
футбольного, футбольного
петь, співати
найден, знайдений
оставшихся, залишилися
удовлетворить, задовольнити
молитвы, молитви
красную, червону
артистов, артистів
приказом, наказом
пожарной, пожежної
автономной, автономної
работникам, працівникам
бензина, бензину
ребёнок, дитина
профессиональная, професійна
покинули, покинули
вооруженные, збройні
реабилитации, реабілітації
задержанных, затриманих
выбору, вибору
виноват, винен
публикаций, публікацій
присутствовали, були присутні
объяснять, пояснювати
строения, будови
кредитной, кредитної
конференц, конференц
аж, аж
упали, впали
мерах, заходи
протест, протест
отделе, відділі
дальнейшему, подальшого
достигло, досягло
молодежной, молодіжної
спектакля, спектаклю
положений, положень
миг, мить
секса, сексу
зафиксировано, зафіксовано
офицер, офіцер
администратор, адміністратор
водоснабжения, водопостачання
созыва, скликання
василия, василия
состоянием, станом
нравятся, подобаються
ввода, введення
очередная, чергова
множеством, безліччю
достопримечательности, пам'ятки
бумаге, папері
песок, пісок
головной, головний
древности, давнини
грязи, бруду
вернется, повернеться
благополучия, благополуччя
экономическую, економічну
медики, медики
группами, групами
выступлении, виступі
мусор, сміття
добыча, здобич
министры, міністри
группах, групах
предоставляют, надають
британских, британських
учение, вчення
спутник, супутник
ложь, брехня
собирался, збирався
палате, палаті
вводить, вводити
предупреждение, попередження
французских, французьких
текущее, поточне
учится, вчиться
токио, токіо
периоды, періоди
Екатеринбурге, Єкатеринбурзі
выпущен, випущений
удобным, зручним
рекомендую, рекомендую
международному, міжнародному
защитой, захистом
бойцов, бійців
устойчивого, стійкого
